Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
13.327175375001389,-0.05718109130859375,-5.842537536621094,-0.5966592407226563
13.347066375004943,-1.1487112426757813,-5.710063018798829,-0.7641609191894532
13.366958375001559,-1.6682807922363283,-5.347217559814453,-0.38889129638671877
13.386849375005113,-1.3395643615722657,-4.136684875488282,0.17184265136718752
13.406740374994115,-1.8520985412597657,-3.5165245056152337,0.13157638549804687
13.426632375005283,-2.541864166259766,-2.989171142578124,-0.27198440551757813
13.446523374994285,-3.2468980407714847,-2.3755970764160157,-0.4739144897460938
13.466415375005454,-3.164419555664063,-2.530824279785156,-0.49831375122070315
13.486306374994456,-2.8612998962402347,-2.2342909240722655,-0.4643344116210938
13.50619737499801,-2.5629702758789064,-1.3436430358886717,-0.05194198608398438
13.526089374994626,-1.7558486938476563,-0.7131541442871097,-0.04775070190429688
13.54598037499818,-2.282004547119141,0.011039886474609517,0.18426681518554688
13.565872374994797,-2.767295379638672,0.7696623229980464,0.030835876464843752
13.58576337499835,-2.497855682373047,2.619964599609375,-0.0058378601074218755
13.605655374994967,-1.0614427185058595,3.8501065063476565,0.19848724365234377
13.625546374998521,-1.1964619445800782,4.518167266845704,0.6807843017578126
13.645437375002075,-0.937500457763672,5.913864898681641,0.6554869079589845
13.665329374998691,-0.0014968872070312501,7.318543853759766,0.7894583129882813
13.685220375002245,0.4219725036621094,8.052617340087892,1.2617262268066407
13.705112374998862,0.11795471191406251,8.43821548461914,1.691931610107422
13.725006666660192,0.3887416076660156,8.928745422363281,1.883383483886719
13.74489866667136,1.26217529296875,8.640444946289064,1.063388671875
13.764789666660363,1.1129356384277345,7.971486053466798,-0.531544647216797
13.784681666671531,-1.1558963012695314,6.022538909912109,-2.119442596435547
13.804572666660533,-1.9561322021484375,5.189820556640625,-2.5143214416503907
13.824464666671702,-1.9929556274414064,5.663884735107422,-1.2744497680664064
13.844355666660704,-1.3874647521972656,5.455518035888672,0.3375480651855469
13.864247666671872,-1.8468594360351565,5.133238220214844,0.40924896240234376
13.884138666660874,-2.525248718261719,4.378507690429688,-0.44921585083007814
13.904030666672043,-3.2955468750000003,3.3461045837402343,-1.2576846313476564
13.923921666661045,-3.6446209716796876,1.806406402587891,-2.1246817016601565
13.943813666672213,-4.8506629943847654,0.11552261352539084,-2.5258474731445313
13.963704666661215,-5.544170837402344,-0.4702093505859377,-2.4146287536621096
13.983596666672383,-6.702911224365235,0.31715332031249943,-1.585353240966797
14.003487666661385,-6.082601165771485,1.327252807617187,-0.6369255065917969
14.023379666672554,-5.38684799194336,-0.5440058898925777,-0.6036946105957032
14.043270666661556,-4.489164733886719,-3.864251403808593,-1.1599378967285157
14.063162666672724,-3.2168106079101566,-5.866038665771484,-1.7311500549316408
14.083053666661726,-3.1747480773925782,-5.9046583557128915,-1.4183006286621094
14.102945666658343,-2.4445664978027346,-5.563368072509766,-1.1993060302734375
14.122836666661897,-2.2369482421875,-6.202538909912109,-0.46059219360351566
14.142728666658513,-0.09116043090820312,-7.192430419921875,0.239501953125
14.162619666662067,3.3024325561523438,-9.425486755371095,0.4279600524902344
