timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1041568,0.131,-0.149,0.121,2.73,22.56,29.25
1041768,0.177,-0.136,0.098,-19.53,13.03,40.08
1041968,0.053,-0.057,-0.073,-9.98,-48.39,10.86
1042168,-0.030,-0.088,-0.107,2.46,-19.16,11.93
1042368,0.019,-0.071,-0.062,4.41,-5.09,20.66
1042568,0.223,-0.100,-0.084,4.44,2.66,18.55
1042768,0.189,-0.242,-0.018,-2.12,-43.65,-33.57
1042968,0.098,-0.217,-0.077,-10.86,-19.10,-42.53
1043168,0.082,-0.048,-0.087,-1.14,-3.55,6.02
1043368,0.105,-0.158,-0.058,7.04,21.29,47.80
1043568,0.123,-0.125,-0.044,1.74,6.34,18.69
1043768,-0.004,0.056,-0.057,7.47,-28.65,-29.99
1043968,-0.054,0.141,-0.105,-0.24,6.30,1.47
1044168,-0.109,0.073,-0.012,4.21,18.50,12.77
1044368,0.021,0.044,-0.086,2.38,-6.65,5.29
1044568,0.161,-0.037,-0.018,-4.16,-23.64,-11.48
1044768,0.051,-0.180,-0.013,-13.88,18.71,-44.27
1044968,-0.010,-0.040,-0.029,-9.53,0.67,3.88
1045168,0.035,-0.145,0.030,12.89,20.64,38.55
1045368,0.226,-0.049,0.031,-6.05,34.70,38.39
1045568,-0.108,0.098,0.022,8.05,-15.24,-25.05
1045768,-0.144,0.207,-0.007,4.69,-6.25,-11.61
1045968,-0.129,0.087,0.033,1.89,-10.32,18.55
1046168,-0.010,0.044,-0.082,10.18,3.14,22.80
1046368,0.201,-0.099,-0.068,-6.54,-35.85,-16.42
1046568,0.028,-0.220,-0.059,-11.69,-25.83,-54.87
1046768,0.036,-0.004,-0.077,9.13,10.76,31.05
1046968,0.114,-0.176,-0.003,12.85,30.91,52.22
1047168,0.075,-0.036,0.047,3.73,98.77,6.64
1047368,-0.307,0.194,0.158,14.65,99.90,-85.71
1047568,-0.324,0.117,0.273,-2.30,10.48,-1.26
1047768,-0.329,0.175,0.249,-6.95,-24.03,19.94
1047968,-0.066,0.008,0.098,-16.05,-51.10,20.08
1048168,0.175,-0.086,-0.011,-6.74,-74.31,-1.69
1048368,0.240,-0.234,-0.116,2.46,-51.26,-46.46
1048568,0.098,-0.059,-0.143,-8.93,3.54,8.89
1048768,0.089,-0.088,-0.070,8.09,27.99,29.01
1048968,0.137,-0.093,-0.039,18.70,63.44,16.14
1049168,-0.141,0.071,0.178,18.47,108.96,-46.18
1049368,-0.478,0.344,0.215,5.46,56.65,-41.14
1049568,-0.418,0.081,0.247,-8.63,20.15,10.76
1049768,-0.424,0.138,0.167,-16.22,-89.56,31.05
1049968,0.212,-0.083,-0.001,-10.56,-97.10,22.21
1050168,0.353,-0.174,-0.179,5.86,-88.67,-38.77
1050368,0.230,-0.161,-0.208,-3.30,-28.64,-25.43
1050568,0.206,-0.105,-0.170,4.51,27.17,23.21
1050768,0.087,-0.064,0.062,-7.88,150.74,28.28
1050968,-0.129,0.075,0.158,5.38,121.10,-20.10
1051168,-0.614,0.324,0.213,13.52,47.00,-67.99
1051368,-0.388,0.020,0.265,-2.82,21.26,7.42
1051568,-0.354,0.163,0.158,-28.01,-51.72,46.42
1051768,0.129,-0.064,0.055,-21.78,-86.99,42.08
1051968,0.333,-0.233,-0.086,8.08,-127.51,-5.11
1052168,0.338,-0.272,-0.152,1.47,-35.44,-50.83
1052368,0.248,0.001,-0.227,-2.84,13.36,7.36
1052568,0.277,-0.112,-0.113,7.76,55.00,34.75
1052768,0.116,-0.003,0.053,0.80,85.51,-7.21
1052968,-0.353,0.086,0.140,21.59,131.41,-76.76
1053168,-0.461,0.226,0.178,11.23,34.96,-18.34
1053368,-0.377,0.096,0.236,-2.95,14.09,8.12
1053568,-0.277,0.149,0.102,-36.40,-51.02,50.39
1053768,0.026,-0.083,0.036,-12.85,-100.68,28.47
1053968,0.320,-0.178,-0.122,-1.72,-157.33,-19.92
1054168,0.399,-0.230,-0.267,7.93,-38.84,-25.19
1054368,0.284,-0.024,-0.289,-5.52,15.59,14.07
1054568,0.271,-0.155,-0.149,8.52,34.48,26.89
1054768,0.110,0.030,0.002,9.67,103.84,-16.69
1054968,-0.204,0.222,0.075,24.93,143.45,-93.54
1055168,-0.429,0.180,0.201,-1.19,-13.47,14.98
1055368,-0.377,0.167,0.183,-10.84,-47.51,30.29
1055568,0.055,0.076,-0.005,-20.72,-115.17,47.73
1055768,0.355,-0.102,-0.141,-13.32,-116.65,-11.22
1055968,0.355,-0.240,-0.256,9.76,-39.02,-70.83
1056168,0.161,0.019,-0.253,-5.56,13.30,20.76
1056368,0.149,-0.071,-0.127,0.25,44.00,22.58
1056568,0.140,-0.078,0.018,-0.59,105.25,17.72
1056768,0.040,0.121,0.145,9.21,121.19,-19.52
1056968,-0.654,0.269,0.178,11.35,20.10,-31.80
1057168,-0.383,0.103,0.244,-0.20,-6.30,18.04
1057368,0.047,0.071,0.057,-7.86,-48.07,40.78
1057568,0.184,-0.026,-0.021,-6.14,-62.73,11.37
1057768,0.315,-0.130,-0.137,-4.58,-83.90,-48.88
1057968,0.146,-0.137,-0.168,4.89,-8.88,-34.16
1058168,0.121,0.073,-0.190,-12.70,8.33,16.20
1058368,0.119,-0.132,-0.037,-0.95,50.90,32.83
1058568,0.078,0.085,0.156,5.09,112.71,-4.89
1058768,-0.284,0.104,0.128,6.49,82.93,-40.34
1058968,-0.454,0.150,0.142,6.02,-6.71,7.95
1059168,-0.386,0.137,0.170,-10.91,-20.53,22.63
1059368,0.039,0.034,0.044,-16.27,-69.04,50.05
1059568,0.201,-0.157,-0.115,1.63,-112.55,-0.76
1059768,0.359,-0.204,-0.193,10.68,-29.13,-76.01
1059968,0.199,-0.020,-0.250,-0.78,18.71,7.13
1060168,0.231,-0.113,-0.094,1.66,71.98,34.02
1060368,0.102,-0.039,0.092,13.15,110.16,1.24
1060568,-0.325,0.378,0.153,-13.58,80.35,-84.81
1060768,-0.444,0.113,0.085,-8.56,35.82,0.52
1060968,-0.296,0.130,0.133,-0.69,-63.41,53.55
1061168,0.071,0.000,0.096,-16.44,-65.28,38.10
1061368,0.255,-0.204,-0.085,-14.75,-90.24,-7.50
1061568,0.331,-0.246,-0.235,-5.84,-61.74,-44.65
1061768,0.220,-0.043,-0.231,-2.03,12.09,8.92
1061968,0.252,-0.243,-0.081,17.02,66.62,24.24
1062168,-0.075,0.063,0.144,0.09,129.79,-11.86
1062368,-0.554,0.288,0.148,16.48,126.89,-92.55
1062568,-0.418,0.125,0.214,-3.31,35.25,15.98
1062768,-0.192,0.134,0.123,-31.02,-60.78,73.74
1062968,0.176,-0.129,-0.002,-11.22,-123.06,25.14
1063168,0.358,-0.230,-0.175,-4.42,-108.92,-42.51
