timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4288572,0.003,-0.007,0.006,-0.40,1.26,1.99
4288772,-0.008,-0.006,-0.013,1.29,1.67,-5.31
4288972,0.001,-0.001,0.010,-1.65,-5.95,-4.57
4289172,0.014,0.007,-0.013,-0.23,0.13,-0.56
4289372,0.094,-0.042,0.037,13.23,13.58,1.91
4289572,0.316,-0.097,-0.068,13.46,40.03,95.44
4289772,0.182,-0.139,0.009,9.29,28.70,112.40
4289972,-0.011,-0.351,0.088,1.86,4.01,49.20
4290172,0.219,-0.265,0.061,-1.02,-24.36,39.14
4290372,0.137,-0.469,-0.049,-17.17,-53.00,34.26
4290572,0.211,-0.598,-0.288,-78.64,-56.20,9.43
4290772,0.086,-0.576,-0.254,-75.31,-36.67,11.92
4290972,0.060,-0.309,-0.155,24.38,-5.39,2.47
4291172,-0.006,-0.362,-0.085,46.99,8.62,-14.27
4291372,0.080,-0.091,-0.035,60.54,41.96,-26.08
4291572,0.137,0.141,0.033,4.60,-14.82,-50.71
4291772,-0.028,0.249,0.276,-5.02,19.69,-6.60
4291972,-0.049,0.133,0.181,-3.94,-32.00,14.93
4292172,0.095,0.025,-0.109,-1.58,-49.06,43.03
4292372,-0.004,-0.194,-0.222,-32.87,2.05,34.51
4292572,-0.036,-0.356,-0.093,-60.75,3.37,6.37
4292772,-0.044,-0.187,-0.059,15.51,1.20,-4.71
4292972,-0.044,-0.247,-0.012,22.99,12.83,-3.61
4293172,0.154,-0.021,-0.035,41.25,41.48,-19.97
4293372,0.096,0.089,0.106,15.90,22.55,-22.98
4293572,-0.073,0.169,0.247,3.09,27.42,-35.66
4293772,-0.016,0.348,0.203,-4.98,21.43,-20.22
4293972,0.013,0.167,0.179,1.89,-37.29,23.11
4294172,-0.017,0.028,0.023,-1.90,-39.26,50.72
4294372,0.049,-0.185,-0.150,-9.87,-30.41,37.77
4294572,0.001,-0.265,-0.125,-39.11,-1.37,-9.41
4294772,-0.100,-0.319,-0.104,-31.33,-19.80,2.46
4294972,-0.012,-0.071,-0.083,5.38,-2.14,2.95
4295172,0.062,-0.109,-0.063,56.90,34.06,-4.40
4295372,0.017,-0.043,0.032,24.57,17.13,-12.86
4295572,0.048,0.042,0.054,27.54,29.19,-26.91
4295772,-0.023,0.350,0.187,0.02,56.09,-68.08
4295972,-0.055,0.231,0.298,4.55,-2.36,3.82
4296172,-0.004,0.182,0.166,-1.19,-25.07,16.47
4296372,0.010,0.131,-0.016,-0.70,-47.49,52.82
4296572,-0.004,-0.070,-0.174,-23.49,-59.76,44.92
4296772,0.007,-0.302,-0.252,-48.69,-16.37,2.06
4296972,-0.028,-0.373,-0.100,-25.20,-8.94,22.43
4297172,-0.047,-0.074,-0.170,-3.13,7.67,1.37
4297372,-0.038,-0.157,-0.058,41.18,24.14,-12.13
4297572,0.116,-0.055,-0.064,27.31,25.10,-21.88
4297772,0.067,0.119,0.072,11.54,45.21,-34.63
4297972,-0.041,0.322,0.122,-12.68,-3.53,-41.89
4298172,-0.008,0.212,0.173,-3.89,-2.70,2.86
4298372,0.013,0.256,0.059,14.67,-44.10,42.62
4298572,-0.024,-0.082,-0.072,-4.52,-41.85,46.95
4298772,-0.030,-0.081,-0.267,-9.50,-1.20,9.64
4298972,-0.041,-0.234,-0.177,-56.11,0.44,14.26
4299172,-0.002,-0.257,0.031,27.96,9.95,-5.76
4299372,-0.092,-0.071,-0.063,-4.56,9.00,6.66
